PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Mgr. Beata Ižófová - lekáreň MEDICANA;Galanta;Trnavský kraj;Okres Galanta;Mgr. Beata Ižófová - lekáreň MEDICANA;0,00;0,00;;;;
Mgr. Miloslav Mackuľak - Lekáreň Chvojnická;Radošovce;Trnavský kraj;Okres Skalica;Mgr. Miloslav Mackuľak - Lekáreň Chvojnická;0,00;0,00;;;;
Lekaren na potocnej;Skalica;Trnavský kraj;Okres Skalica;Lekaren na potocnej;0,00;0,00;;;;
Lekáreň Park,s.r.o.;Piešťany;Trnavský kraj;Okres Piešťany;Lekáreň Park,s.r.o.;0,00;0,00;;;;
FLOS TILIA s.r.o.;Sereď;Trnavský kraj;Okres Galanta;FLOS TILIA s.r.o.;0,00;0,00;;;;
PAYBO s.r.o.;Piešťany;Trnavský kraj;Okres Piešťany;PAYBO s.r.o.;;;;;;
VERO PHARM s:r:o;Piešťany;Trnavský kraj;Okres Piešťany;VERO PHARM s:r:o;0,00;0,00;;;;
Medikament s.r.o.;Boleráz;Trnavský kraj;Okres Trnava;Medikament s.r.o.;0,00;0,00;;;;
Emotrans spol. s r.o.;Senica;Trnavský kraj;Okres Senica;Emotrans spol. s r.o.;0,00;0,00;;;;
Akustik plus, s.r.o.;Trnava;Trnavský kraj;Okres Trnava;Akustik plus, s.r.o.;;;;17 374,35;;
PERLOVKA,spol s r.o;Sereď;Trnavský kraj;Okres Galanta;PERLOVKA,spol s r.o;0,00;0,00;;;;
Fraštacká lekáreň, s.r.o.;Hlohovec;Trnavský kraj;Okres Hlohovec;Fraštacká lekáreň, s.r.o.;0,00;0,00;;;;
Lekáreň PRI STANICI s.r.o.;Hlohovec;Trnavský kraj;Okres Hlohovec;Lekáreň PRI STANICI s.r.o.;;;;;;
Lekáreň Melissa s.r.o.;Senica;Trnavský kraj;Okres Senica;Lekáreň Melissa s.r.o.;0,00;0,00;;;;
ALVENA,sro;Trnava;Trnavský kraj;Okres Trnava;ALVENA,sro;0,00;0,00;;;;
JULIANUS, s.r.o.;Kyselica;Trnavský kraj;Okres Dunajská Streda;JULIANUS, s.r.o.;0,00;0,00;;;;
Lekáreň Medea spol. s r.o.;Drahovce;Trnavský kraj;Okres Piešťany;Lekáreň Medea spol. s r.o.;0,00;0,00;;;;
Revo - Mat,s.r.o. výdajňa ortopediko - protetických zdravotníckych pomôcok;Piešťany;Trnavský kraj;Okres Piešťany;Revo - Mat,s.r.o. výdajňa ortopediko - protetických zdravotníckych pomôcok;;;1,00;;1,00;
Lekáreň Andromeda, s.r.o.;Trnava;Trnavský kraj;Okres Trnava;Lekáreň Andromeda, s.r.o.;0,00;0,00;;;;
DILEK;Dechtice;Trnavský kraj;Okres Trnava;DILEK;0,00;0,00;;;;
APOTPHARM, spol. s r.o.;Trnava;Trnavský kraj;Okres Trnava;APOTPHARM, spol. s r.o.;0,00;0,00;;;;
SOPHIA-RF, s r.o.;Cerová;Trnavský kraj;Okres Senica;SOPHIA-RF, s r.o.;0,00;0,00;;;;
Medalex s.r.o.;Gabčíkovo;Trnavský kraj;Okres Dunajská Streda;Medalex s.r.o.;0,00;0,00;;;;
lekáreň salibská;Horné Saliby;Trnavský kraj;Okres Galanta;lekáreň salibská;;;;;;
Lekáreň Thea;Holíč;Trnavský kraj;Okres Skalica;Lekáreň Thea;0,00;0,00;;;;
Lekáreň Botanicus;Šaľa;Trnavský kraj;Okres Šaľa;Lekáreň Botanicus;0,00;0,00;;;;
Verbascum;Moravský Svätý Ján;Trnavský kraj;Okres Senica;Verbascum;0,00;0,00;;;;
Harmóniapharm s.r.o.;Ohrady;Trnavský kraj;Okres Dunajská Streda;Harmóniapharm s.r.o.;;;;;;
FARMENA s.r.o.;Trnava;Trnavský kraj;Okres Trnava;FARMENA s.r.o.;0,00;0,00;;;;
Cande s.r.o.;Piešťany;Trnavský kraj;Okres Piešťany;Cande s.r.o.;;;197 964,00;16 060,00;;
VIM-LEK s.r.o.;Trnava;Trnavský kraj;Okres Trnava;VIM-LEK s.r.o.;;;;;;
alfa omega pharma;Trnava;Trnavský kraj;Okres Trnava;alfa omega pharma;500,00;;;;;
Na prednadraží, a.s.;Vrbové;Trnavský kraj;Okres Piešťany;Na prednadraží, a.s.;0,00;0,00;;;;
TvMedica;Trnava;Trnavský kraj;Okres Trnava;TvMedica;4 860,00;;;;;
ALTHAEA s.r.o.;Hlohovec;Trnavský kraj;Okres Hlohovec;ALTHAEA s.r.o.;0,00;0,00;;;;
EVERA SK s.r.o.;Kľúčovec;Trnavský kraj;Okres Dunajská Streda;EVERA SK s.r.o.;0,00;0,00;;;;
PharmNova, s.r.o.;Trnava;Trnavský kraj;Okres Trnava;PharmNova, s.r.o.;0,00;0,00;;;;
Quantum satis s.r.o.;Trnava;Trnavský kraj;Okres Trnava;Quantum satis s.r.o.;0,00;0,00;;;;
Jankovych a syn;Skalica;Trnavský kraj;Okres Skalica;Jankovych a syn;0,00;0,00;;;;
Lekaren Marko;Zlaté Klasy;Trnavský kraj;Okres Dunajská Streda;Lekaren Marko;0,00;0,00;;;;
LEGIBA s.r.o.;Skalica;Trnavský kraj;Okres Skalica;LEGIBA s.r.o.;708,00;;;708,00;;0,00
Lekáreň Pharmica s.r.o.;Trnava;Trnavský kraj;Okres Trnava;Lekáreň Pharmica s.r.o.;0,00;0,00;;;;
Medelis s.r.o.;Vydrany;Trnavský kraj;Okres Dunajská Streda;Medelis s.r.o.;0,00;0,00;;;;
ALBINUS.s.r.o;Piešťany;Trnavský kraj;Okres Piešťany;ALBINUS.s.r.o;0,00;0,00;;;;
Pharmagister s.r.o.;Veľký Meder;Trnavský kraj;Okres Dunajská Streda;Pharmagister s.r.o.;0,00;0,00;;;;
GAN-LEK,s.r.o.;Trstice;Trnavský kraj;Okres Galanta;GAN-LEK,s.r.o.;100,00;0,00;;;;
Pharmco, s.r.o;Košolná;Trnavský kraj;Okres Trnava;Pharmco, s.r.o;504,15;;;;;
Bayer Oy;Zahraničie;Zahraničie ;Zahraničie ;Bayer Oy;0,00;0,00;;;;
LABORATOIRES BAILLEUL s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;LABORATOIRES BAILLEUL s.r.o.;822,00;1 100,00;500,00;;;
Bioproject Europe Ltd., Írsko;Zahraničie;Zahraničie ;Zahraničie ;Bioproject Europe Ltd., Írsko;2 755,00;0,00;;;;
URSAPHARM Arzneimittel GmbH, Nemecko;Zahraničie;Zahraničie ;Zahraničie ;URSAPHARM Arzneimittel GmbH, Nemecko;0,00;0,00;;;;
Medreg s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;Medreg s.r.o.;0,00;0,00;;;;
MSD VACCINS - Francúzsko;Zahraničie;Zahraničie ;Zahraničie ;MSD VACCINS - Francúzsko;;;;;;
MEDA  Pharma GmbH;Zahraničie;Zahraničie ;Zahraničie ;MEDA  Pharma GmbH;;;;;;
GlaxoSmithKline Vaccines S.r.l., Taliansko;Zahraničie;Zahraničie ;Zahraničie ;GlaxoSmithKline Vaccines S.r.l., Taliansko;0,00;0,00;;;;
Adamed Czech Republic s.r.o., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;Adamed Czech Republic s.r.o., Česká republika;0,00;0,00;;;;
GE Healthcare Ltd, Spojené kráľovstvo;Zahraničie;Zahraničie ;Zahraničie ;GE Healthcare Ltd, Spojené kráľovstvo;0,00;0,00;;;;
LABORATOIRES THEA, Francúzsko;Zahraničie;Zahraničie ;Zahraničie ;LABORATOIRES THEA, Francúzsko;0,00;0,00;;;;
GlaxoSmithKline Trading Services Limited, Írsko;Zahraničie;Zahraničie ;Zahraničie ;GlaxoSmithKline Trading Services Limited, Írsko;0,00;0,00;;;;
Pharmathen S.A., Grécko;Zahraničie;Zahraničie ;Zahraničie ;Pharmathen S.A., Grécko;0,00;0,00;;;;
WZF Polfa S.A.;Zahraničie;Zahraničie ;Zahraničie ;WZF Polfa S.A.;2 639,00;0,00;;;;
Intercept Pharma Ltd, One, Glass Wharf, Bristol, BS2 0ZX, Spojené Kráľovstvo;Zahraničie;Zahraničie ;Zahraničie ;Intercept Pharma Ltd, One, Glass Wharf, Bristol, BS2 0ZX, Spojené Kráľovstvo;0,00;0,00;;;;
Janssen-Cilag International NV Belgicko;Zahraničie;Zahraničie ;Zahraničie ;Janssen-Cilag International NV Belgicko;;;647,40;174 321,41;;
Merck Sharp & Dohme B.V. - Holandsko;Zahraničie;Zahraničie ;Zahraničie ;Merck Sharp & Dohme B.V. - Holandsko;;;;;;
Shire Pharmaceuticals Ireland Ltd, Írska republika;Zahraničie;Zahraničie ;Zahraničie ;Shire Pharmaceuticals Ireland Ltd, Írska republika;0,00;0,00;;;;
Recordati Industria Chimica e Farmaceutica S.p.A.;Zahraničie;Zahraničie ;Zahraničie ;Recordati Industria Chimica e Farmaceutica S.p.A.;0,00;0,00;;;;
Merz Pharmaceuticals GmbH, Eckenheimer Landstrasse 100, 60318 Frankfurt / Germany;Zahraničie;Zahraničie ;Zahraničie ;Merz Pharmaceuticals GmbH, Eckenheimer Landstrasse 100, 60318 Frankfurt / Germany;0,00;0,00;;;;
Amicus Therapeutics UK Limited, Írsko;Zahraničie;Zahraničie ;Zahraničie ;Amicus Therapeutics UK Limited, Írsko;0,00;0,00;;;;
"Tarchomińskie Zaklady Farmaceutyczne ""Polfa"" Spólka Akcyjna, Poľsko";Zahraničie;Zahraničie ;Zahraničie ;"Tarchomińskie Zaklady Farmaceutyczne ""Polfa"" Spólka Akcyjna, Poľsko";0,00;0,00;;;;
McNeil Products Limited, Veľká Británia;Zahraničie;Zahraničie ;Zahraničie ;McNeil Products Limited, Veľká Británia;;;;;;
Takeda Austria GmbH, Rakúska republika;Zahraničie;Zahraničie ;Zahraničie ;Takeda Austria GmbH, Rakúska republika;0,00;0,00;;;;
GlaxoSmithKline Pharmaceuticals SA, Poľsko;Zahraničie;Zahraničie ;Zahraničie ;GlaxoSmithKline Pharmaceuticals SA, Poľsko;0,00;0,00;;;;
Proenzi s.r.o., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;Proenzi s.r.o., Česká republika;0,00;0,00;;;;
Mylan IRE Healthcare Limited, Írsko;Zahraničie;Zahraničie ;Zahraničie ;Mylan IRE Healthcare Limited, Írsko;;;;;;
Gedeon Richter Plc.;Zahraničie;Zahraničie ;Zahraničie ;Gedeon Richter Plc.;;;;;;
Kyowa Kirin Pharma s.r.o., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;Kyowa Kirin Pharma s.r.o., Česká republika;1 400,00;;;;;
PHARMAGEN CZ s.r.o., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;PHARMAGEN CZ s.r.o., Česká republika;0,00;0,00;;;;
Mylan IRE Healthcare Limited;Zahraničie;Zahraničie ;Zahraničie ;Mylan IRE Healthcare Limited;56 414,21;34 600,00;;;;
Mylan S.A.S.,;Zahraničie;Zahraničie ;Zahraničie ;Mylan S.A.S.,;;;;;;
CZ Pharma s.r.o., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;CZ Pharma s.r.o., Česká republika;0,00;0,00;;;;
Dr. Max Pharma s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;Dr. Max Pharma s.r.o.;0,00;0,00;;;;
Astellas Pharma s.r.o., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;Astellas Pharma s.r.o., Česká republika;160,47;63,60;;;;
Baxalta Innovations GmbH, Rakúska republika;Zahraničie;Zahraničie ;Zahraničie ;Baxalta Innovations GmbH, Rakúska republika;0,00;0,00;;;;
Teofarma S.r.l., Taliansko;Zahraničie;Zahraničie ;Zahraničie ;Teofarma S.r.l., Taliansko;0,00;0,00;;;;
Boehringer Ingelheim RCV GmbH & Co KG;Zahraničie;Zahraničie ;Zahraničie ;Boehringer Ingelheim RCV GmbH & Co KG;;;92,50;;;
Bayer Aktiengesellschaft;Zahraničie;Zahraničie ;Zahraničie ;Bayer Aktiengesellschaft;0,00;0,00;11 551,75;64 027,71;;
CHEPLAPHARM Arzneimittel GmbH, Nemecko;Zahraničie;Zahraničie ;Zahraničie ;CHEPLAPHARM Arzneimittel GmbH, Nemecko;0,00;0,00;;;;
Vertex Pharmaceuticals Inc. USA;Zahraničie;Zahraničie ;Zahraničie ;Vertex Pharmaceuticals Inc. USA;;;600,00;71 640,00;2 246,88;
Casen Recordati S.L, Španielsko;Zahraničie;Zahraničie ;Zahraničie ;Casen Recordati S.L, Španielsko;0,00;0,00;;;;
Herbacos Recordati s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;Herbacos Recordati s.r.o.;177 033,76;53 253,51;;;;
Dr. Friedrich Eberth Arzneimittel GmbH, Nemecko;Zahraničie;Zahraničie ;Zahraničie ;Dr. Friedrich Eberth Arzneimittel GmbH, Nemecko;0,00;0,00;;;;
Astellas Pharma Global Development Europe, Holandsko;Zahraničie;Zahraničie ;Zahraničie ;Astellas Pharma Global Development Europe, Holandsko;;;2 735,75;83 736,80;0,00;0,00
AXONIA, a.s., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;AXONIA, a.s., Česká republika;0,00;0,00;;;;
MEDA AB;Zahraničie;Zahraničie ;Zahraničie ;MEDA AB;;;;;;
Takeda Pharma A/S, Dánske kráľovstvo;Zahraničie;Zahraničie ;Zahraničie ;Takeda Pharma A/S, Dánske kráľovstvo;0,00;0,00;;;;
MCM Vaccine B.V. - Holandsko;Zahraničie;Zahraničie ;Zahraničie ;MCM Vaccine B.V. - Holandsko;;;;;;
Lipomed GmbH, Nemecko;Zahraničie;Zahraničie ;Zahraničie ;Lipomed GmbH, Nemecko;0,00;0,00;;;;
Incyte Biosciences Distribution B.V., Paasheuvelweg 25, 1105 BP Amsterdam, Netherlands;Zahraničie;Zahraničie ;Zahraničie ;Incyte Biosciences Distribution B.V., Paasheuvelweg 25, 1105 BP Amsterdam, Netherlands;;;;;;
Pears Health Cyber, s.r.o, Česká republika;Zahraničie;Zahraničie ;Zahraničie ;Pears Health Cyber, s.r.o, Česká republika;;;7 628,00;;;
Medana Pharma S.A, Poľsko;Zahraničie;Zahraničie ;Zahraničie ;Medana Pharma S.A, Poľsko;274,00;0,00;;;;
Takeda Manufacturing Austria AG, Rakúska republika;Zahraničie;Zahraničie ;Zahraničie ;Takeda Manufacturing Austria AG, Rakúska republika;0,00;0,00;;;;
INN-FARM d.o.o., Slovinsko;Zahraničie;Zahraničie ;Zahraničie ;INN-FARM d.o.o., Slovinsko;0,00;0,00;;;;
Amdipharm Limited, Írsko;Zahraničie;Zahraničie ;Zahraničie ;Amdipharm Limited, Írsko;0,00;0,00;;;;
Biomedica, spol. s r.o.;Zahraničie;Zahraničie ;Zahraničie ;Biomedica, spol. s r.o.;4 120,00;0,00;;4 120,00;;0,00
Tillotts Pharma Czech s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;Tillotts Pharma Czech s.r.o.;0,00;0,00;;;;
BioMarin International Ltd., Irsko;Zahraničie;Zahraničie ;Zahraničie ;BioMarin International Ltd., Irsko;;;1 000,00;2 764,00;824,50;
Shire Human Genetic Therapies AB, Švédske kráľovstvo;Zahraničie;Zahraničie ;Zahraničie ;Shire Human Genetic Therapies AB, Švédske kráľovstvo;0,00;0,00;;;;
GlaxoSmithKline Biologicals SA, Belgicko;Zahraničie;Zahraničie ;Zahraničie ;GlaxoSmithKline Biologicals SA, Belgicko;0,00;0,00;;;;
Laboratorio Farmaceutico S.I.T. S.r.l., Taliansko;Zahraničie;Zahraničie ;Zahraničie ;Laboratorio Farmaceutico S.I.T. S.r.l., Taliansko;0,00;0,00;;;;
Merck Santé s.a.s, Francúzsko;Zahraničie;Zahraničie ;Zahraničie ;Merck Santé s.a.s, Francúzsko;0,00;0,00;;;;
Adamed Pharma S.A., Poľsko;Zahraničie;Zahraničie ;Zahraničie ;Adamed Pharma S.A., Poľsko;0,00;0,00;;;;
GSK Vaccines GmbH, Nemecko;Zahraničie;Zahraničie ;Zahraničie ;GSK Vaccines GmbH, Nemecko;0,00;0,00;;;;
Mylan S.A.S.;Zahraničie;Zahraničie ;Zahraničie ;Mylan S.A.S., 117 allée des Parcs, 69800 Saint Priest, Francúzsko;9 121,77;21 696,51;;;;
Merck Europe B.V., Holandsko;Zahraničie;Zahraničie ;Zahraničie ;Merck Europe B.V., Holandsko;0,00;0,00;;;;
URSAPHARM spol. s r.o.;Zahraničie;Zahraničie ;Zahraničie ;URSAPHARM spol. s r.o.;0,00;0,00;;;;
Organon N.V. - Holandsko;Zahraničie;Zahraničie ;Zahraničie ;Organon N.V. - Holandsko;;;;;;
Glaxo Group Limited, Spojené kráľovstvo;Zahraničie;Zahraničie ;Zahraničie ;Glaxo Group Limited, Spojené kráľovstvo;0,00;0,00;;;;
PROFARMA-PRODUKT s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;PROFARMA-PRODUKT s.r.o.;0,00;0,00;;;;
Takeda GmbH, Nemecká spolková republika;Zahraničie;Zahraničie ;Zahraničie ;Takeda GmbH, Nemecká spolková republika;0,00;0,00;;;;
Swyssi AG;Zahraničie;Zahraničie ;Zahraničie ;Swyssi AG;0,00;0,00;;;;
Daiichi Sankyo Europe GmbH;Zahraničie;Zahraničie ;Zahraničie ;Daiichi Sankyo Europe GmbH;0,00;0,00;;;;
Baxalta Innovations GmbH, Rakúsko;Zahraničie;Zahraničie ;Zahraničie ;Baxalta Innovations GmbH, Rakúsko;0,00;0,00;;2 308,05;;
EVER Valinject GmbH, Rakúsko;Zahraničie;Zahraničie ;Zahraničie ;EVER Valinject GmbH, Rakúsko;0,00;0,00;;;;
Walmark, a.s., Česká republika;Zahraničie;Zahraničie ;Zahraničie ;Walmark, a.s., Česká republika;353 410,00;0,00;;;380,02;
ViiV Healthcare UK Limited, Spojené kráľovstvo;Zahraničie;Zahraničie ;Zahraničie ;ViiV Healthcare UK Limited, Spojené kráľovstvo;0,00;0,00;;;;
Astellas Pharma Europe B.V., Holandsko   ;Zahraničie;Zahraničie ;Zahraničie ;Astellas Pharma Europe B.V., Holandsko   ;0,00;0,00;10 705,00;920,00;17 481,75;0,00
EVER Neuro Pharma GmbH, Rakúsko;Zahraničie;Zahraničie ;Zahraničie ;EVER Neuro Pharma GmbH, Rakúsko;0,00;0,00;;;;
McNeil AB, Švédsko;Zahraničie;Zahraničie ;Zahraničie ;McNeil AB, Švédsko;;;;;;
Pierre Fabre Dermo-Cosmétique Tchequie, s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;Pierre Fabre Dermo-Cosmétique Tchequie, s.r.o.;0,00;0,00;;;;
Orion Pharma s.r.o.;Zahraničie;Zahraničie ;Zahraničie ;Orion Pharma s.r.o.;;;;;;
Montavit  Ges.m.b.H.;Zahraničie;Zahraničie ;Zahraničie ;Montavit  Ges.m.b.H.;0,00;0,00;;;;
Madaus GmbH ;Zahraničie;Zahraničie ;Zahraničie ;Madaus GmbH ;;;;;;
Merck Serono S.p.A. Taliansko;Zahraničie;Zahraničie ;Zahraničie ;Merck Serono S.p.A. Taliansko;0,00;0,00;;;;
Medi-Radiopharma Ltd.;Zahraničie;Zahraničie ;Zahraničie ;Medi-Radiopharma Ltd.;0,00;0,00;;;;
Recordati Ireland Limited, Írsko;Zahraničie;Zahraničie ;Zahraničie ;Recordati Ireland Limited, Írsko;0,00;0,00;;;;
Zakłady Farmaceutyczne Polpharma S.A.;Zahraničie;Zahraničie ;Zahraničie ;Zakłady Farmaceutyczne Polpharma S.A.;10 951,00;0,00;;;;
Generics (U.K.) Limited, UK;Zahraničie;Zahraničie ;Zahraničie ;Generics (U.K.) Limited, UK;;;;;;
Nicobrand Limited, Spojené kráľovstvo;Zahraničie;Zahraničie ;Zahraničie ;Nicobrand Limited, Spojené kráľovstvo;0,00;0,00;;;;
Shire Services BVBA, Belgicko;Zahraničie;Zahraničie ;Zahraničie ;Shire Services BVBA, Belgicko;0,00;0,00;;;;
Janssen Biologics B.V. - Holandsko;Zahraničie;Zahraničie ;Zahraničie ;Janssen Biologics B.V. - Holandsko;;;;;;
Medindex, spol. s r.o.;Zahraničie;Zahraničie ;Zahraničie ;Medindex, spol. s r.o.;230,00;4 700,00;;;;
Otsuka Pharmaceutical United Kingdom;Zahraničie;Zahraničie ;Zahraničie ;Otsuka Pharmaceutical United Kingdom;;;4 396,82;38 277,10;0,00;0,00
Pierre Fabre Medicament s.r.o., Prosecká 851/64, 19000 Praha 9, Česká republika;Zahraničie;Zahraničie ;Zahraničie ;Pierre Fabre Medicament s.r.o., Prosecká 851/64, 19000 Praha 9, Česká republika;15 979,00;15 263,00;65 292,26;6 640,00;;
Takeda France SAS;Zahraničie;Zahraničie ;Zahraničie ;Takeda France SAS;0,00;0,00;;;;
Lekáreň ALFA, Mgr. Miroslava Ištvánová;Dolný Kubín;Žilinský kraj;Okres Dolný Kubín;Lekáreň ALFA, Mgr. Miroslava Ištvánová;0,00;0,00;;;;
Dolnooravská nemocnica s poliklinikou MUDr. L. Nádaši Jégého Dolný Kubín;Dolný Kubín;Žilinský kraj;Okres Dolný Kubín;Dolnooravská nemocnica s poliklinikou MUDr. L. Nádaši Jégého Dolný Kubín;0,00;0,00;;;;
Liptovská nemocnica s poliklinikou MUDr. Ivana Stodolu Liptovský Mikuláš;Liptovský Mikuláš;Žilinský kraj;Okres Liptovský Mikuláš;Liptovská nemocnica s poliklinikou MUDr. Ivana Stodolu Liptovský Mikuláš;0,00;0,00;;;;
HBM Pharma s.r.o.;Martin;Žilinský kraj;Okres Martin;HBM Pharma s.r.o.;0,00;0,00;;;;
Walmark,s.r.o.;Žilina;Žilinský kraj;Okres Žilina;Walmark,s.r.o.;0,00;0,00;4 105,00;;;
BB Pharma s.r.o.;Martin;Žilinský kraj;Okres Martin;BB Pharma s.r.o.;35 880,00;0,00;;;;
Vitalis, spol. s r.o.;Liptovský Mikuláš;Žilinský kraj;Okres Liptovský Mikuláš;Vitalis, spol. s r.o.;;;;7 303,00;;
FARMACIA spol. s r.o.;Námestovo;Žilinský kraj;Okres Námestovo;FARMACIA spol. s r.o.;0,00;0,00;;;;
PharmDr. Rudolf Stenchlák;Čadca;Žilinský kraj;Okres Čadca;PharmDr. Rudolf Stenchlák;;;;;;
Lekáreň Salamandra*;Liptovské Sliače;Žilinský kraj;Okres Ružomberok;Lekáreň Salamandra*;0,00;0,00;;;;
HU-FA Dental, s.r.o.;Čadca;Žilinský kraj;Okres Čadca;HU-FA Dental, s.r.o.;190,00;0,00;;;;
FARMACIA PLUS, spol. s r.o.;Námestovo;Žilinský kraj;Okres Námestovo;FARMACIA PLUS, spol. s r.o.;0,00;0,00;;;;
Lekareň Salve,s.r.o.;Žilina;Žilinský kraj;Okres Žilina;Lekareň Salve,s.r.o.;0,00;0,00;;;;
Lekáreň Lietavská Lúčka, s.r.o.;Lietavská Lúčka;Žilinský kraj;Okres Žilina;Lekáreň Lietavská Lúčka, s.r.o.;0,00;0,00;;;;
Lekáreň OCULUS, s.r.o.;Ružomberok;Žilinský kraj;Okres Ružomberok;Lekáreň OCULUS, s.r.o.;;;;;;
Lekáreň Kolečko, s.r.o.;Žilina;Žilinský kraj;Okres Žilina;Lekáreň Kolečko, s.r.o.;0,00;0,00;;;;
Lekáreň Žilpo, s.r.o.;Žilina;Žilinský kraj;Okres Žilina;Lekáreň Žilpo, s.r.o.;0,00;0,00;;;;
ANA,s.r.o.;Zubrohlava;Žilinský kraj;Okres Námestovo;ANA,s.r.o.;0,00;0,00;;;;
Lekáreň Svrčinovec s.r.o.;Svrčinovec;Žilinský kraj;Okres Čadca;Lekáreň Svrčinovec s.r.o.;;;;;;
Lekaren Kamilka Cadca, s.r.o;Stará Bystrica;Žilinský kraj;Okres Čadca;Lekaren Kamilka Cadca, s.r.o;0,00;0,00;;;;
Lekáreň pri mlyne, s.r.o.;Nová Bystrica;Žilinský kraj;Okres Čadca;Lekáreň pri mlyne, s.r.o.;0,00;0,00;;;;
Turčianska Lekáreň s.r.o.;Turčianske Teplice;Žilinský kraj;Okres Turčianske Teplice;Turčianska Lekáreň s.r.o.;0,00;0,00;;;;
Pharmcentrum, s.r.o.;Trstená;Žilinský kraj;Okres Tvrdošín;Pharmcentrum, s.r.o.;0,00;0,00;;;;
Senium Medica s.r.o.;Martin;Žilinský kraj;Okres Martin;Senium Medica s.r.o.;19 998,00;0,00;;;;
Výdajňa zdravotníckych pomôcok;Kysucké Nové Mesto;Žilinský kraj;Okres Kysucké Nové Mesto;Výdajňa zdravotníckych pomôcok;0,00;0,00;;;;
PharmDr. Eva Roziaková;Sučany;Žilinský kraj;Okres Martin;PharmDr. Eva Roziaková;;90,00;;;;
HACLO, s. r. o.;Žilina;Žilinský kraj;Okres Žilina;HACLO, s. r. o.;0,00;0,00;;;;
Profipharma s.r.o;Rudina;Žilinský kraj;Okres Kysucké Nové Mesto;Profipharma s.r.o;5 900,00;3 700,00;;;;
Bea,s.r.o;Rabča;Žilinský kraj;Okres Námestovo;Bea,s.r.o;0,00;0,00;;;;
PHAREX, s.r.o.;Martin;Žilinský kraj;Okres Martin;PHAREX, s.r.o.;315 297,57;0,00;;;;
Lekria s.r.o;Žilina;Žilinský kraj;Okres Žilina;Lekria s.r.o;0,00;0,00;;;;
TEXEL, s.r.o.;Liptovský Hrádok;Žilinský kraj;Okres Liptovský Mikuláš;TEXEL, s.r.o.;0,00;0,00;;;;
Avicena LM s.r.o.;Liptovský Mikuláš;Žilinský kraj;Okres Liptovský Mikuláš;Avicena LM s.r.o.;0,00;0,00;;;;
lekaren aster s.r.o;Lokca;Žilinský kraj;Okres Námestovo;lekaren aster s.r.o;0,00;0,00;;;;
AKNEL Pharm, s.r.o.;Varín;Žilinský kraj;Okres Žilina;AKNEL Pharm, s.r.o.;0,00;0,00;;;;
Farmacia Martin a.s.;Martin;Žilinský kraj;Okres Martin;Farmacia Martin a.s.;0,00;0,00;;;;
Lekareň PRI STAROM GYMNÁZIU s.r.o.;Čadca;Žilinský kraj;Okres Čadca;Lekareň PRI STAROM GYMNÁZIU s.r.o.;0,00;0,00;;;;
Teplická Lekáreň s.r.o.;Turčianske Teplice;Žilinský kraj;Okres Turčianske Teplice;Teplická Lekáreň s.r.o.;0,00;0,00;;;;
PEDAG s.r.o.;Dolný Kubín;Žilinský kraj;Okres Dolný Kubín;PEDAG s.r.o.;;;;;;
Lekáreň CENTRUM, s.r.o.;Martin;Žilinský kraj;Okres Martin;Lekáreň CENTRUM, s.r.o.;0,00;0,00;;;;
Azitea;Lokca;Žilinský kraj;Okres Námestovo;Azitea;0,00;0,00;;;;
VIA SOPHIA, s.r.o.;Ružomberok;Žilinský kraj;Okres Ružomberok;VIA SOPHIA, s.r.o.;0,00;0,00;;;;
slovap5, s.r.o.;Martin;Žilinský kraj;Okres Martin;slovap5, s.r.o.;1 560,00;;;;;
Lekáreň Melissa;Martin;Žilinský kraj;Okres Martin;Lekáreň Melissa;;;;;;
Lekáreň Teplička,s.r.o.;Rosina;Žilinský kraj;Okres Žilina;Lekáreň Teplička,s.r.o.;0,00;0,00;;;;
s Pharm, s.r.o.;Dolný Kubín;Žilinský kraj;Okres Dolný Kubín;s Pharm, s.r.o.;0,00;0,00;;;;
Demropolis;Martin;Žilinský kraj;Okres Martin;Demropolis;0,00;0,00;;;;
